Mês,Brasil
01-01-2000,46.56262
01-02-2000,47.08777
01-03-2000,49.10081
01-04-2000,49.10081
01-05-2000,51.11386
01-06-2000,48.66319
01-07-2000,50.41367
01-08-2000,50.23862
01-09-2000,49.01329
01-10-2000,49.97605
01-11-2000,50.85129
01-12-2000,70.10651
01-01-2001,47.43786
01-02-2001,44.72463
01-03-2001,50.32614
01-04-2001,48.13805
01-05-2001,49.97605
01-06-2001,48.05053
01-07-2001,48.3131
01-08-2001,49.62596
01-09-2001,47.61291
01-10-2001,50.58872
01-11-2001,49.62596
01-12-2001,68.18099
01-01-2002,46.91272
01-02-2002,44.02444
01-03-2002,50.50119
01-04-2002,47.17529
01-05-2002,50.58872
01-06-2002,47.17529
01-07-2002,49.18834
01-08-2002,50.76376
01-09-2002,46.91272
01-10-2002,50.85129
01-11-2002,49.62596
01-12-2002,64.68004
01-01-2003,44.81215
01-02-2003,43.32425
01-03-2003,44.72463
01-04-2003,45.42482
01-05-2003,47.43786
01-06-2003,44.46205
01-07-2003,47.00024
01-08-2003,47.87548
01-09-2003,45.59986
01-10-2003,49.36338
01-11-2003,49.53843
01-12-2003,66.78061
01-01-2004,47.52539
01-02-2004,45.51234
01-03-2004,49.62596
01-04-2004,50.06357
01-05-2004,52.51424
01-06-2004,50.23862
01-07-2004,52.68929
01-08-2004,51.11386
01-09-2004,49.80100
01-10-2004,53.47700
01-11-2004,52.60176
01-12-2004,74.39517
01-01-2005,50.50119
01-02-2005,46.4751
01-03-2005,53.47700
01-04-2005,51.72652
01-05-2005,53.91462
01-06-2005,52.86433
01-07-2005,55.05243
01-08-2005,54.61481
01-09-2005,52.51424
01-10-2005,55.49004
01-11-2005,55.22747
01-12-2005,78.07117
01-01-2006,53.82709
01-02-2006,49.36338
01-03-2006,55.05243
01-04-2006,55.57757
01-05-2006,57.94071
01-06-2006,54.9649
01-07-2006,56.27776
01-08-2006,58.11576
01-09-2006,57.76566
01-10-2006,59.34109
01-11-2006,60.21633
01-12-2006,82.53488
01-01-2007,58.37833
01-02-2007,53.82709
01-03-2007,61.44166
01-04-2007,59.86623
01-05-2007,64.06737
01-06-2007,61.26661
01-07-2007,61.52918
01-08-2007,64.06737
01-09-2007,62.49194
01-10-2007,65.03013
01-11-2007,66.43051
01-12-2007,90.32449
01-01-2008,65.20518
01-02-2008,60.74147
01-03-2008,68.26851
01-04-2008,65.03013
01-05-2008,71.15679
01-06-2008,66.25546
01-07-2008,68.44356
01-08-2008,70.36908
01-09-2008,68.35603
01-10-2008,71.50689
01-11-2008,69.84394
01-12-2008,93.73792
01-01-2009,69.14375
01-02-2009,63.01709
01-03-2009,69.14375
01-04-2009,69.66889
01-05-2009,73.16984
01-06-2009,70.01898
01-07-2009,72.55717
01-08-2009,73.69498
01-09-2009,71.85698
01-10-2009,77.63355
01-11-2009,75.79555
01-12-2009,102.40276
01-01-2010,76.32069
01-02-2010,70.71917
01-03-2010,79.99669
01-04-2010,76.05812
01-05-2010,80.69688
01-06-2010,77.98364
01-07-2010,80.60936
01-08-2010,81.48459
01-09-2010,80.43431
01-10-2010,84.37288
01-11-2010,83.32259
01-12-2010,112.90561
01-01-2011,82.6224
01-02-2011,76.75831
01-03-2011,83.14754
01-04-2011,83.84773
01-05-2011,85.77326
01-06-2011,83.49764
01-07-2011,86.2984
01-08-2011,86.64849
01-09-2011,84.54792
01-10-2011,87.96135
01-11-2011,88.92411
01-12-2011,120.43265
01-01-2012,89.01163
01-02-2012,84.89802
01-03-2012,93.56287
01-04-2012,88.83659
01-05-2012,92.77515
01-06-2012,91.28725
01-07-2012,92.51258
01-08-2012,95.31334
01-09-2012,91.81239
01-10-2012,96.01353
01-11-2012,96.36363
01-12-2012,126.55931
01-01-2013,94.35058
01-02-2013,84.63545
01-03-2013,97.76401
01-04-2013,90.32449
01-05-2013,96.88877
01-06-2013,92.77515
01-07-2013,98.1141
01-08-2013,101.17743
01-09-2013,95.66344
01-10-2013,101.17743
01-11-2013,103.19048
